Part,Value,Device,Package,Description,,AVA,ILABIL,ITY,DES,CRIPTION
CN1,,HEADER1X5,HEADER_1X5,,,,,,,
D1,SMD-RGB-HI-LIGH-5050,SMD-RGB-HI-LIGHT 5050,LED6-SMD-5050,304090049,,Una,vailab,le,Ad,dressable
Q1,AO3400,AO3400,SOT95P280X125-3N,30V N-Channel,MOSFET,,,,30V,N-Channel
Q3,AO3400,AO3400,SOT95P280X125-3N,30V N-Channel,MOSFET,,,,30V,N-Channel
Q4,AO3400,AO3400,SOT95P280X125-3N,30V N-Channel,MOSFET,,,,30V,N-Channel
R1,10K,RES_0805,R0805,,,,,,,
R2,0 (NO LOAD),RES_0805,R0805,,,,,,,
R3,0 (NO LOAD),RES_0805,R0805,,,,,,,
R4,51,RES_0805,R0805,,,,,,,
R5,51,RES_0805,R0805,,,,,,,
R6,10K,RES_0805,R0805,,,,,,,
R7,10K,RES_0805,R0805,,,,,,,
R8,51,RES_0805,R0805,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
